,scores
611,-404.6392049239081
612,-0.9563606656366597
613,-262.0062568846695
614,-375.7072375258675
615,-394.9211052163239
616,-382.88686107363094
617,-253.20569281194122
618,-264.86090980094866
619,-125.43759357220871
620,-1.7487901169747802
621,-125.65799629787915
622,-398.49989383134636
623,-130.14120263649178
624,-126.85412196287426
625,-387.32157509672624
626,-132.49808536592218
627,-128.47848857801011
628,-261.031691534932
629,-254.5760164426576
630,-130.1240235387908
631,-377.12773153900656
632,-256.5909785793178
633,-258.5895395115681
634,-455.9691812106356
635,-260.0320594170823
636,-129.89775532314152
637,-129.3444170926552
638,-381.23953929196756
639,-127.50982824929433
640,-430.14279459599305
641,-0.8827429632900099
642,-125.61403012403812
643,-129.44649351875378
644,-0.6001214718324759
645,-388.1762965462125
646,-126.06696409092837
647,-264.05787748355914
648,-125.65947818759172
649,-254.91520203611105
650,-129.77566764162685
651,-129.37868635213607
652,-250.98856513792455
653,-129.48557100408632
654,-247.74615186002103
655,-126.47243616984508
656,-133.38656272382423
657,-132.0342814036178
658,-266.2023338025595
659,-125.8428253718832
660,-128.98845591400712
661,-130.9305050051024
662,-127.84089157713566
663,-126.52414046748007
664,-256.5786031165075
665,-264.2165577646237
666,-399.4762875990991
667,-0.7747113030770661
668,-130.0622435596116
669,-266.1486371613289
670,-127.57969310615209
671,-392.5636379913857
672,-417.06228314195687
673,-0.4882055870347096
674,-256.154969067891
675,-397.8582086826788
676,-541.9199528040181
677,-251.47118470656335
678,-125.84601325686931
679,-256.8863372437103
680,-259.50196527735807
681,-250.72929321074508
682,-263.75838154103064
683,-128.1924974907919
684,-133.18439526303678
685,-129.0476800858349
686,-269.5275912042369
687,-436.54257317541783
688,-131.71495605004276
689,-371.28865219553336
690,-0.8024967033700072
691,-0.5875551301531421
692,-134.1945548687785
693,-375.18555182800685
694,-129.5635507183177
695,-342.17184413801243
696,-0.6571960502136454
697,-128.24398840298718
698,-254.4303906925552
699,-133.4727039472274
700,-126.76646748484062
701,-1.5488971529406887
702,-130.34520909281594
703,-385.54276333764375
704,-490.5935696301237
705,-396.44329802456815
706,-131.27155971410488
707,-130.39672237046878
708,-254.91582809043786
709,-130.35945191045448
710,-132.6212735154875
711,-130.9325051539836
712,-127.0874198445787
713,-133.57703566111468
714,-378.51820930990016
715,-129.38151628887658
716,-472.0958361750235
717,-129.69567312826544
718,-0.5213357112295797
719,-129.1660054222052
720,-128.90569543184188
721,-376.46753089447185
722,-128.00589298108997
723,-258.80016195914993
724,-261.85163254990687
725,-132.94289293373018
726,-491.05251334463543
727,-129.15151410986175
728,-268.8479232883596
729,-1.5059200984907704
730,-254.23953484375573
731,-264.1595606680532
732,-396.18336955858035
733,-260.1401322420882
734,-387.90276783948985
735,-262.1866725635979
736,-268.9847604190995
737,-250.2180708729789
738,-127.82825848552203
739,-255.19263523799307
740,-376.97055501436597
741,-392.18326499694484
742,-2.7441245790980644
743,-132.36528723133407
744,-132.43916031628413
745,-136.58296001224963
746,-126.96711624440825
747,-130.21063925981076
748,-258.4992648602365
749,-128.74071248717792
750,-129.67313163019142
751,-267.8244880577963
752,-370.94892688159
753,-129.3498679404012
754,-131.11253856694097
755,-255.39645931884306
756,-1.10612404575652
757,-262.29646840383447
758,-126.58777355605726
759,-3.12246707737064
760,-130.62823557333812
761,-129.64748886151006
762,-261.78396862768926
763,-2.0372755275084122
764,-262.5944646992792
765,-408.9493967714769
766,-129.20065013877922
767,-256.58755684146684
768,-127.33805826282772
769,-129.73140893293964
770,-0.8179591742161055
771,-377.08563136002937
772,-375.21346015029656
773,-242.28915155518433
774,-132.87725829388182
775,-125.32673737579915
776,-130.0353093220307
777,-389.3955992359087
778,-254.74435443151708
779,-282.1226640090629
780,-129.51043725421633
781,-124.60356704892688
782,-259.61993420099054
783,-126.76669615554836
784,-249.7965635573279
785,-128.44476866582275
786,-424.5097351371593
787,-0.4522866149274684
788,-425.063930549174
789,-128.3255951187304
790,-369.20610610793085
791,-261.32173712978727
792,-128.25891888347115
793,-130.3972671011655
794,-266.57318725652397
795,-126.30822993434079
796,-130.41150391393708
797,-0.6796929034453417
798,-256.0479429981207
799,-252.78164794607363
800,-128.60839216633607
